country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,soilTypeOrder,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_006,250000,500m x 500m,B2,31.187108,-84.454305,WGS84,16N,742588.938,3453130.312,0.1,37.97,0.11,37.97,46.64,0.72,160.87,mixedForest,Ultisols,,GeoXH 6000,20131213,124,1.3,0.6,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_011,250000,500m x 500m,B2,31.185556,-84.468518,WGS84,16N,741238.017,3452927.169,0.1,36.89,0.12,33.19,45.72,1.97,209.61,evergreenForest,Ultisols,,GeoXH 6000,20131216,301,1.9,0.9,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_031,250000,500m x 500m,B2,31.2036,-84.463206,WGS84,16N,741698.551,3454939.492,0.1,46.97,0.14,42.42,48.1,0.39,0.58,mixedForest,Ultisols,,GeoXH 6000,20131216,304,1.9,0.9,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_042,250000,500m x 500m,B2,31.209872,-84.47074,WGS84,16N,740964.567,3455618.424,0.12,38.8,0.17,35.47,47.11,1.71,258.26,mixedForest,Ultisols,,GeoXH 6000,20131216,304,2.3,1,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_002,250000,500m x 500m,B2,31.194243,-84.460066,WGS84,16N,742021.584,3453908.904,0.14,48.35,0.2,44,48.74,0.4,350,evergreenForest,Ultisols,,GeoXH 6000,20131212,120,2.4,1.1,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_005,250000,500m x 500m,B2,31.195139,-84.452009,WGS84,16N,742787.309,3454025.912,0.21,45.42,0.26,42.63,48.87,0.88,267.8,evergreenForest,Ultisols,,GeoXH 6000,20131212,132,2.8,1.4,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_028,250000,500m x 500m,B2,31.183935,-84.479452,WGS84,16N,740199.907,3452723.586,0.21,36.67,0.38,34.85,49.07,4.87,58.39,deciduousForest,Entisols,,GeoXH 6000,20131216,302,3.6,1.5,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_003,250000,500m x 500m,B2,31.194651,-84.472098,WGS84,16N,740873.712,3453927.786,0.26,32.15,0.23,29.03,44.91,1.5,194.18,deciduousForest,Ultisols,,GeoXH 6000,20131216,313,3.4,2,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,birdGrid,ninePoints,JERC_013,250000,500m x 500m,B2,31.178727,-84.468741,WGS84,16N,741234.089,3452169.541,0.33,37.28,0.59,33.66,45.29,1.59,299.48,evergreenForest,Ultisols,,GeoXH 6000,20131215,310,3.6,1.3,brd
unitedStates,GA,Baker,Southeast,D03,Jones Ecological Research Center,JERC,distributed,tickPlot,,JERC_002,1600,40m x 40m,41,31.194065,-84.461537,WGS84,16N,741881.896,3453885.847,0.28,55.95,0.49,48.6,55.95,0.3,187.52,evergreenForest,Ultisols,,GeoXH 6000,20131212,121,2.4,1.1,tck
